gamma_hat,sigma2X,Gamma_hat,sigma2Y
0.03768,9.55E-05,0.025657,0.000118963
0.032822,0.000110061,-0.019748,0.000153066
0.131487,0.000299359,-0.067781,0.000734789
0.125605,9.92E-05,0.027989,0.000122833
0.067837,0.000180177,0.013068,0.000245674
0.066235,0.000102536,0.023914,0.000147185
0.012476,0.000158382,-0.0312,0.00020164
0.091518,0.000264453,-0.041852,0.000350813
0.042181,0.000118984,-0.010014,0.000144024
0.027231,0.000108973,-0.003676,0.000157929
0.040649,0.000152424,-0.045839,0.000248945
0.031919,0.000182142,0.008882,0.00023241
0.039973,0.000106936,-0.023243,0.000139382
0.018087,9.72E-05,-0.041625,0.000120978
0.025501,0.000150897,0.010918,0.000222278
0.072412,0.000247811,0.013266,0.000295255
0.02194,0.000137194,0.004592,0.000191823
0.017365,9.55E-05,-0.01962,0.000124992
0.092936,0.000229977,-0.015736,0.000327212
0.035476,0.000102091,-0.037864,0.000124166
0.086435,0.000168221,-0.01485,0.000213657
0.016927,0.000111725,-0.006387,0.000127351
0.124401,0.000139075,0.027192,0.000180687
0.067856,0.000220493,-0.029146,0.000286456
0.021403,9.90E-05,-0.011031,0.000122855
0.060114,0.000175404,0.008124,0.000209092
0.02407,0.000159542,-0.022473,0.000190219
0.043548,0.000102982,-0.041158,0.000150381
0.02058,9.96E-05,-0.028013,0.000128913
0.076232,0.000341326,-0.039973,0.00033511
0.109607,0.00010347,-3.20E-05,0.000125037
